nom,nature,adresse,code_postal,commune,the_geom
Collège Jean Claude Ruet,COLLEGE,95 avenue Jean-Baptiste Sornay ,69910,Villié-Morgon,POINT (4.681453185340324 46.162518119510324)
Section d'enseignement général et professionnel adapté du Collège Simone Veil,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,Chemin de Revaison 69800 ST PRIEST,69800,Saint-Priest,POINT (4.921500290216627 45.70570676357742)
Collège privé Rudolf Steiner,COLLEGE,6 AVENUE GEORGES CLEMENCEAU 69230 ST GENIS LAVAL,69230,Saint-Genis-Laval,POINT (4.7984404935263205 45.70802536684607)
Collège Simone Veil,COLLEGE,71 chemin de Revaison ,69800,Saint-Priest,POINT (4.921500290216627 45.70570676357742)
Ecole secondaire privée Les couleurs de l'aube,COLLEGE,17 rue Pasteur 69580 SATHONAY CAMP,69580,Sathonay-Camp,POINT (4.872260276008384 45.82713240799686)
Collège Raoul Dufy,COLLEGE,74 bis rue Mazenod ,69003,Lyon 3e Arrondissement,POINT (4.847529171105776 45.7588153357252)
Collège Notre-Dame,COLLEGE,1 rue Honoré Petetin ,69700,Givors,POINT (4.771732557617095 45.59109248241571)
Collège Jules Michelet,COLLEGE,3 avenue Jean Moulin ,69200,Vénissieux,POINT (4.872875990843279 45.68846474601851)
Collège le Sacré-Coeur,COLLEGE,47 avenue du Docteur Terver ,69130,Écully,POINT (4.774631379164303 45.77027114221077)
Collège Fénelon,COLLEGE,1 rue Paul Michel Perret ,69006,Lyon 6e Arrondissement,POINT (4.85077050143411 45.77271910165229)
Collège Fromente - Saint-François,COLLEGE,1 route de Champagne BP 12 ,69370,Saint-Didier-au-Mont-d'Or,POINT (4.79444806927774 45.80949577838811)
Collège la Xavière,COLLEGE,9 rue Professeur Roux ,69200,Vénissieux,POINT (4.85710840125353 45.72948765362027)
Collège Champagnat,COLLEGE,20 rue Berthelot ,69210,L'Arbresle,POINT (4.61842699487011 45.83605408668954)
Collège Notre-Dame du Mas,COLLEGE,356 rue Jacques Cortay Le Bois d'Oingt ,69620,Val-d'Oingt,POINT (4.58282156305082 45.92449047269256)
