nom,nature,adresse,code_postal,commune,the_geom
Lycée professionnel Notre-Dame,LYCEE PROFESSIONNEL,72 rue des Jardiniers BP 213 ,69657,Villefranche-sur-Saône,POINT (4.72068099561914 45.988526443466725)
Lycée professionnel ORT,LYCEE PROFESSIONNEL,133 rue Marius Berliet ,69373,Lyon 8e Arrondissement,POINT (4.867663604414776 45.73812520090057)
Cité scolaire internationale,LYCEE D ENSEIGNEMENT GENERAL,2 place de Montréal ,69361,Lyon 7e Arrondissement,POINT (4.821920579586814 45.72830363050331)
Lycée Condorcet,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,29 rue Edmond Rostand BP 261 ,69802,Saint-Priest,POINT (4.941858251293537 45.69417665608742)
Section d'enseignement professionnel du Lycée polyvalent Hector Guimard,SECTION D ENSEIGNEMENT PROFESSIONNEL,23 rue CLAUDE VEYRON 69365 LYON CEDEX 07,69365,Lyon 7e Arrondissement,POINT (4.857929994808795 45.74567026209121)
Lycée polyvalent François Rabelais,LYCEE POLYVALENT,Chemin du Dodin BP 24 ,69571,Dardilly,POINT (4.761710242327352 45.81817277980965)
Lycée Blaise Pascal,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,2 avenue Bergeron ,69260,Charbonnières-les-Bains,POINT (4.742564126043531 45.77821988232572)
Lycée polyvalent François Mansart,LYCEE POLYVALENT,7 rue Jacquard BP 70 ,69240,Thizy-les-Bourgs,POINT (4.312657072592858 46.02471434450935)
Lycée La Xavière,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,252 route de Vienne ,69008,Lyon 8e Arrondissement,POINT (4.853677610624295 45.72785704420177)
Lycée Robert Doisneau,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,5 rue du Lycée BP 42 ,69511,Vaulx-en-Velin,POINT (4.918619883571236 45.77659199409946)
Lycée René Descartes,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,145 avenue de Gadagne ,69230,Saint-Genis-Laval,POINT (4.784732489578301 45.69047129788534)
Lycée polyvalent Aiguerande,LYCEE POLYVALENT,2 place Georges Dutrève BP 50211 ,69823,Belleville-en-Beaujolais,POINT (4.746595498300483 46.10384236563821)
Section d'enseignement professionnel du Lycée polyvalent Claude Bernard,SECTION D ENSEIGNEMENT PROFESSIONNEL,234 rue PHILIPPE HERON BP 475 69665 VILLEFRANCHE SUR SAONE CEDEX,69665,Villefranche-sur-Saône,POINT (4.712028447764922 45.98934570179681)
